2025-12-04 00:04:37,746 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(35).log
2025-12-04 00:04:37,747 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:04:37,868 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:04:37,868 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:04:37,869 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:04:37,869 - INFO -    Queue 1: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 2: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 3: 1 tasks
2025-12-04 00:04:37,983 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:04:37,983 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:04:37,987 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:06:19,709 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 101s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:20,228 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 102s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:23,183 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 105s) - GPU0: 🔴 (13.6GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:23,700 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 105s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:26,521 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 108s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:27,053 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 109s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:29,930 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 112s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:30,428 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 112s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:33,262 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 115s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:33,743 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 116s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
