2025-12-04 00:09:47,313 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(36).log
2025-12-04 00:09:47,313 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:09:47,458 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:09:47,458 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:09:47,459 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:09:47,459 - INFO -    Queue 1: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 2: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 3: 1 tasks
2025-12-04 00:09:47,587 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:09:47,587 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 2: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 3: Starting with 1 tasks
2025-12-04 00:11:04,326 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 77s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:05,157 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 77s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:05,377 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 78s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:07,808 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 80s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:08,677 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 81s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:09,023 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 81s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:11,390 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 84s) - GPU0: 🔴 (13.5GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:12,059 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 84s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:12,473 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 85s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:14,803 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 87s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:15,626 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 88s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:15,868 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 88s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:18,195 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 90s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:19,014 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 91s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:19,467 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 91s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:21,876 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 94s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:22,437 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 95s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:22,898 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 95s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:25,248 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 97s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:26,039 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 98s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:26,274 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 98s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:28,627 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 101s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
2025-12-04 00:11:29,428 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 102s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.8GB) | GPU2: 🔴 (22.6GB)
